N=8000,graph=fb,method=pearson,r=0.3,beta=0.95,modify_type=hide,dj=0.5,reconstruct_type=rwr
k,avg_precision,avg_dj
0,0.5932541666666667
100,0.5932541666666667
200,0.5932541666666667
300,0.5932541666666667
400,0.5933583333333333
500,0.593775
600,0.5935041666666667
700,0.5946708333333334
800,0.5932541666666669
900,0.5924833333333334
1000,0.5921083333333335
1100,0.5926916666666667
1200,0.5926916666666667
1300,0.5936083333333335
1400,0.5922750000000001
1500,0.5931291666666668
1600,0.5931291666666668
