N=1000,graph=email,method=gmla,r=0.1,beta=0.95,modify_type=hide,dj=0.1,reconstruct_type=srw
k,prec,std_err
0,0.56365,0.014404235239198206
273,0.5579833333333334,0.014323234010953418
545,0.5527333333333333,0.014447111326917882
1090,0.5271500000000001,0.014523244660502073
N=1000,graph=email,method=gmla,r=0.1,beta=0.95,modify_type=hide,dj=0.1,reconstruct_type=srw
k,prec,std_err
1635,0.46343333333333336,0.014563289901189201
2726,0.4139166666666667,0.01452447390739958
4361,0.30625,0.01379482032870435
