N=50,graph=fb,method=gmla,r=0.3,beta=0.95,modify_type=hide,dj=0.5,reconstruct_type=srw
k,prec,std_err
0,0.06,0.03392669167725119
250,0.08,0.03875617133214439
500,0.05,0.029450754468697573
750,0.09,0.03961549892532013
1000,0.05,0.029450754468697573
1250,0.08,0.038756171332144394
1500,0.16,0.05237229365663817
1750,0.16,0.05237229365663817
2000,0.2,0.05714285714285715
2250,0.12,0.04642307659791978
2500,0.14,0.0495695759225642
2750,0.16,0.05237229365663817
3000,0.27,0.06261316285946036
3250,0.23,0.059264195750547255
3500,0.17,0.05270247641627633
3750,0.24,0.05931582712007628
4000,0.25,0.05933302759227196
4250,0.24666666666666665,0.05913971312860962
4500,0.22666666666666666,0.057293452353123935
4750,0.23666666666666664,0.059110949141339485
5000,0.25,0.061028598180839506
5250,0.21,0.0573033460575188
5500,0.27,0.06261316285946036
5750,0.25,0.061028598180839506
6000,0.21,0.0573033460575188
6250,0.19,0.055125089661642104
6500,0.2,0.055328333517248814
6750,0.22,0.057427860692119366
7000,0.16,0.050386263110138274
7250,0.18,0.052992105688546884
7500,0.15,0.049999999999999996
7750,0.15,0.049999999999999996
8000,0.21,0.0573033460575188
8250,0.24,0.061011875725893214
8500,0.26,0.06266203485560373
8750,0.28,0.06414269805898185
9000,0.24,0.061011875725893214
9250,0.24,0.061011875725893214
9500,0.26,0.06266203485560373
9750,0.26,0.06266203485560373
10000,0.2,0.057142857142857155
